STABBR,REGION_NAME,REGION_CODE,ST_FIPS
CT,New_England,1,09
ME,New_England,1,23
MA,New_England,1,25
NH,New_England,1,33
RI,New_England,1,44
VT,New_England,1,50
DE,Mid_East,2,10
DC,Mid_East,2,11
MD,Mid_East,2,24
NJ,Mid_East,2,34
NY,Mid_East,2,36
PA,Mid_East,2,42
IL,Great_Lakes,3,17
IN,Great_Lakes,3,18
MI,Great_Lakes,3,26
OH,Great_Lakes,3,39
WI,Great_Lakes,3,55
IA,Plains,4,19
KS,Plains,4,20
MN,Plains,4,27
MO,Plains,4,29
NE,Plains,4,31
ND,Plains,4,38
SD,Plains,4,46
AL,Southeast,5,01
AR,Southeast,5,05
FL,Southeast,5,12
GA,Southeast,5,13
KY,Southeast,5,21
LA,Southeast,5,22
MS,Southeast,5,28
NC,Southeast,5,37
SC,Southeast,5,45
TN,Southeast,5,47
VA,Southeast,5,51
WV,Southeast,5,54
AZ,Southwest,6,04
NM,Southwest,6,35
OK,Southwest,6,40
TX,Southwest,6,48
CO,Rocky_Mountains,7,08
ID,Rocky_Mountains,7,16
MT,Rocky_Mountains,7,30
UT,Rocky_Mountains,7,49
WY,Rocky_Mountains,7,56
CA,Far_West,8,06
NV,Far_West,8,32
OR,Far_West,8,41
WA,Far_West,8,53
